      dimension     Birth     Death
 [1,]         0 0.0000000       Inf
 [2,]         0 0.0000000 1.0690590
 [3,]         0 0.0000000 0.7811372
 [4,]         0 0.0000000 0.7668789
 [5,]         0 0.0000000 0.7628121
 [6,]         0 0.0000000 0.7602435
 [7,]         0 0.0000000 0.7585641
 [8,]         0 0.0000000 0.7241044
 [9,]         0 0.0000000 0.7159275
[10,]         0 0.0000000 0.7121480
[11,]         0 0.0000000 0.7113550
[12,]         0 0.0000000 0.7101833
[13,]         0 0.0000000 0.7063714
[14,]         0 0.0000000 0.6294114
[15,]         0 0.0000000 0.6101910
[16,]         1 0.7868555 1.4277479
[17,]         1 1.1363120 1.1795310
[18,]         1 1.6057777 1.6141692
[19,]         1 1.7003486 1.7073424
[20,]         1 1.4268579 1.4268999
[21,]         2 1.6143912 1.6144180
[22,]         2 1.4510174 1.4510174
